заголовок,movieId,title,id,genres,cast,vote_average,director,keywords,title_key,title_ru,directors_x1,directors_x2,directors_cluster,genre_x1,genre_x2,genre_x3,genre_cluster,cast_x1,cast_x2,cast_cluster,keywords_x1,keywords_x2,keywords_cluster
 История игрушек (1995),1,Toy Story (1995),862,"['Animation', 'Comedy', 'Family']","['DonRickles', 'JimVarney', 'TimAllen', 'TomHanks']",7.7,John Lasseter,"['boy', 'boynextdoor', 'friends', 'friendship', 'jealousy', 'newtoy', 'rivalry', 'toy', 'toycomestolife']",toystory,,2.9150143,5.0093513,0,-4.6198378,-2.003358,-16.860966,9,-1.0707582,-0.684697,16,12.052106,9.914565,1
 Золотой глаз (1995),10,GoldenEye (1995),710,"['Action', 'Adventure', 'Thriller']","['FamkeJanssen', 'IzabellaScorupco', 'PierceBrosnan', 'SeanBean']",6.6,Martin Campbell,"['computervirus', 'cossack', 'cuba', 'ejectionseat', 'electromagneticpulse', 'falselyaccused', 'kgb', 'redarmy', 'satellite', 'secretbase', 'secretidentity', 'secretintelligenceservice', 'specialcar', 'st.petersburgrussia', 'timebomb']",goldeneye,,6.9939837,4.2418623,1,17.111319,2.298493,-2.1201468,17,1.5372028,3.8889124,11,-19.18479,6.0824385,0
 Никсон (1995),14,Nixon (1995),10858,"['Drama', 'History']","['AnthonyHopkins', 'EdHarris', 'JoanAllen', 'PowersBoothe']",7.1,Oliver Stone,"['biography', 'government', 'historicalfigure', 'presidentialelection', 'usapresident', 'watergatescandal']",nixon,,2.84157,31.452574,0,-6.898155,-6.1486516,4.0511203,7,-1.9682443,0.36082077,16,-3.689746,-0.8175355,0
 Остров головорезов (1995),15,Cutthroat Island (1995),1408,"['Action', 'Adventure']","['FrankLangella', 'GeenaDavis', 'MatthewModine', 'MauryChaykin']",5.7,Renny Harlin,"['exoticisland', 'map', 'pirate', 'scalp', 'ship', 'treasure']",cutthroatisland,,13.243169,1.7836959,1,2.9837873,-2.9116263,-8.125521,18,1.869653,4.6869783,1,20.795588,-6.392511,1
 Казино (1995),16,Casino (1995),524,"['Crime', 'Drama']","['JamesWoods', 'JoePesci', 'RobertDeNiro', 'SharonStone']",7.8,Martin Scorsese,"['1970s', 'drugabuse', 'illegalprostitution', 'overdose', 'poker']",casino,,3.1504424,31.063261,0,-13.161213,8.548437,4.8700733,6,-3.203744,4.228349,14,6.3374205,-11.446759,1
 Чувство и чувствительность (1995),17,Sense and Sensibility (1995),4584,"['Drama', 'Romance']","['EmmaThompson', 'HughGrant', 'KateWinslet', 'TomWilkinson']",7.2,Ang Lee,"['basedonnovel', 'bowling', 'countrylife', 'decorum', 'horseandcarriage', 'inheritance', 'janeausten', 'militaryofficer', 'perioddrama', 'rainstorm', 'servant']",senseandsensibility,,11.144327,9.571352,1,-9.358015,-13.215299,13.59973,13,-0.96995574,6.5922937,3,1.263411,-6.3416247,1
 Четыре комнаты (1995),18,Four Rooms (1995),5,"['Comedy', 'Crime']","['AntonioBanderas', 'JenniferBeals', 'Madonna', 'TimRoth']",6.5,Allison Anders,"['bet', 'episodefilm', 'hoodlum', 'hotel', 'hotelroom', 'losangeles', 'newyearseve', 'sperm', 'witch', 'womandirector']",fourrooms,,14.532177,-0.7779922,1,-4.7246647,-4.8564157,-7.4469547,5,0.8584211,5.2903514,1,3.168364,6.985145,1
 Эйс Вентура: Когда зовет природа (1995),19,Ace Ventura: When Nature Calls (1995),9273,"['Adventure', 'Comedy', 'Crime']","['IanMcNeice', 'JimCarrey', 'MaynardEziashi', 'SimonCallow']",6.1,Steve Oedekerk,"['africa', 'bat', 'humananimalrelationship', 'indigenous']",aceventura:whennaturecalls,,4.437263,7.890886,0,-4.5494976,-4.2656794,-9.406137,5,0.66402656,8.201018,7,9.90621,-6.8050127,1
 Денежный поезд (1995),20,Money Train (1995),11517,"['Action', 'Comedy', 'Crime']","['JenniferLopez', 'RobertBlake', 'WesleySnipes', 'WoodyHarrelson']",5.4,Joseph Ruben,"['brotherbrotherrelationship', 'newyorkcity', 'newyorksubway', 'subway', 'trainrobbery']",moneytrain,,1.2009318,5.6230164,0,-3.2639823,-5.737108,-10.846434,5,-1.3776865,6.617356,3,-13.614319,-1.1704205,0
 Получить коротышку (1995),21,Get Shorty (1995),8012,"['Comedy', 'Crime', 'Thriller']","['DannyDeVito', 'GeneHackman', 'JohnTravolta', 'ReneRusso']",6.4,Barry Sonnenfeld,"['basedonnovel', 'business', 'con', 'crime', 'debt', 'drug', 'gambling', 'gangster', 'hollywood', 'job', 'mafia', 'miami', 'mobster', 'money', 'murder', 'producer', 'travel', 'violence']",getshorty,,4.4448833,7.3449497,0,12.157273,3.8872817,-4.10585,1,1.2403735,3.4596028,11,17.235996,5.167775,1
